Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",61.815000,6.705000,90.000000,top
"C2","0.1uF","C_0402_1005Metric",44.985000,6.705000,90.000000,top
"C3","10uF","C_0402_1005Metric",30.005000,8.745000,0.000000,top
"C4","0.1uF","C_0402_1005Metric",19.775000,11.691250,-90.000000,top
"C5","10uF","C_0402_1005Metric",24.505000,9.505000,0.000000,top
"C6","0.1uF","C_0402_1005Metric",51.135001,23.195000,-90.000000,top
"C7","10uF","C_0402_1005Metric",49.985000,23.225000,-90.000000,top
"C8","0.1uF","C_0402_1005Metric",54.775000,24.815000,0.000000,top
"C9","22uF","C_0603_1608Metric",54.545000,22.725000,-90.000000,top
"C10","22uF","C_0603_1608Metric",52.875000,22.725000,-90.000000,top
"C11","0.1uF","C_0402_1005Metric",22.495000,26.175000,90.000000,top
"C12","10uF","C_0402_1005Metric",23.565000,26.175000,90.000000,top
"C13","0.1uF","C_0402_1005Metric",18.855000,24.515000,180.000000,top
"C14","22uF","C_0603_1608Metric",19.084999,26.745000,90.000000,top
"C15","22uF","C_0603_1608Metric",20.655000,26.745000,90.000000,top
"C16","0.1uF","C_0402_1005Metric",7.385000,12.734999,90.000000,top
"D1","5V_LED","LED_0603_1608Metric",4.415000,21.775000,0.000000,top
"D2","3V3_LED","LED_0603_1608Metric",4.515000,18.485000,0.000000,top
"J1","GPIO15","Solderpad_Rounded_Rectangle_0.9x1.5mm",29.168334,28.655001,180.000000,top
"J4","GPIO18","Solderpad_Rounded_Rectangle_0.9x1.5mm",30.667879,28.655001,180.000000,top
"J5","ESP_RXD0","Solderpad_Rounded_Rectangle_0.9x1.5mm",32.167425,28.655001,180.000000,top
"J6","ESP_TXD0","Solderpad_Rounded_Rectangle_0.9x1.5mm",33.666970,28.655001,180.000000,top
"J7","I2C_SDA","Solderpad_Rounded_Rectangle_0.9x1.5mm",35.166515,28.655001,180.000000,top
"J8","I2C_SCL","Solderpad_Rounded_Rectangle_0.9x1.5mm",36.666061,28.655001,180.000000,top
"J9","ZH06_Pin","PinHeader_1x08_P2.54mm_Vertical",75.270000,19.925000,-90.000000,top
"J10","ZH06_PicoBlade","Molex_PicoBlade_53261-0871_1x08-1MP_P1.25mm_Horizontal",66.395000,25.775000,180.000000,top
"J11","DHT20","PinHeader_1x04_P2.54mm_Vertical",64.542500,6.824999,90.000000,top
"J12","AGS02MA","PinHeader_1x04_P2.54mm_Vertical",47.742500,6.824999,90.000000,top
"J13","+3.3V","Solderpad_Rounded_Rectangle_0.9x1.5mm",38.165606,28.655001,180.000000,top
"J14","MB_PINS","PinHeader_1x12_P2.54mm_Vertical",51.450000,18.175000,-90.000000,top
"J15","MB_CONNECTOR","JST_SH_SM12B-SRSS-TB_1x12-1MP_P1.00mm_Horizontal",37.475000,23.905000,180.000000,top
"J16","GND","Solderpad_Rounded_Rectangle_0.9x1.5mm",39.665152,28.655001,180.000000,top
"J17","USB_D+","Solderpad_Rounded_Rectangle_0.9x1.5mm",41.164697,28.655001,180.000000,top
"J18","USB_D-","Solderpad_Rounded_Rectangle_0.9x1.5mm",42.664242,28.655001,180.000000,top
"J19","+5V","Solderpad_Rounded_Rectangle_0.9x1.5mm",44.163788,28.655001,180.000000,top
"J20","GND","Solderpad_Rounded_Rectangle_0.9x1.5mm",45.663333,28.655001,180.000000,top
"J21","SGP40-D-R4_CONN","PinHeader_1x04_P2.54mm_Vertical",30.875000,3.424999,-90.000000,top
"J22","SCD40-D-R2_CONN","PinHeader_1x04_P2.54mm_Vertical",3.625000,14.975000,0.000000,top
"J23","STEMMA-QT","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal_2",37.475000,3.895000,0.000000,top
"R1","1K","R_0402_1005Metric",55.195000,15.515000,180.000000,top
"R2","1K","R_0402_1005Metric",55.195000,14.125001,180.000000,top
"R3","330R","R_0402_1005Metric",1.805000,21.795000,0.000000,top
"R4","4.7R","R_0402_1005Metric",27.195000,10.995000,180.000000,top
"R5","5.1K","R_0402_1005Metric",8.385000,18.805000,90.000000,top
"R6","5.1K","R_0402_1005Metric",9.875000,18.805000,90.000000,top
"R7","220R","R_0402_1005Metric",1.915000,18.475000,0.000000,top
"R8","10K","R_0402_1005Metric",54.285001,26.485001,-90.000000,top
"R9","10K","R_0402_1005Metric",21.015000,21.095000,0.000000,top
"R10","1K","R_0402_1005Metric",48.245000,25.895000,180.000000,top
"R11","1K","R_0402_1005Metric",25.415000,23.415000,0.000000,top
"R12","10K","R_0402_1005Metric",48.215000,27.105000,0.000000,top
"R13","10K","R_0402_1005Metric",25.345000,22.290000,180.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",77.500000,7.000000,0.000000,top
"U1","SCD40-D-R2","Sensirion_SCD4x-1EP_10.1x10.1mm_P1.25mm_EP4.8x4.8mm",13.442500,10.917500,-90.000000,top
"U2","SGP40-D-R4","DFN-6-1EP_2.44x2.44mm_P0.8mm_EP1.25x1.7mm",27.190000,8.742500,0.000000,top
"U3","AP22804AW5","SOT-23-5",51.525001,26.106000,180.000000,top
"U4","AP22804AW5","SOT-23-5",21.975000,23.363000,0.000000,top
